CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
383,1392,556.76,-0.13,0.35,26.06,1.76,0.95,0.62,1.62,61.82,19.97,11.48,24.42,22.72,37.97,22.23,20.12,96.16,43993,8.63,1.28,30.8,30.8,3.69,31.19,98.33
427,1392,174.41,0.3,0.86,40.01,2.18,0.93,0.55,1.55,64.42,47,39.86,39.58,48.3,76.59,50.91,35.73,78.04,103251,6.79,1.84,14.19,14.19,33.85,43.68,158.06
435,1392,9.88,1.17,1.02,7.89,1.19,0.53,0.54,1.54,64.76,45.2,37.9,31.7,15.83,24.92,18.66,-8.83,93.05,6056985,5.78,1.17,80.78,80.78,51.7,38.91,194.05
436,1392,55.46,1.1,0.77,8.52,1.12,0.49,1.07,2.07,48.2,42.23,40.62,31.75,23.54,49.13,26.85,37.63,91.77,8355487,5.16,1.23,37.01,37.01,19.93,42.75,601.14
441,1392,33.04,0.07,0.5,9.59,1.14,0.27,0.86,1.86,53.87,25.04,23.31,19.96,18.49,29.8,28.5,25.27,97.1,915668,1.34,1.61,35.92,35.92,18.25,24.84,103.06
442,1392,56.12,0.6,0.82,5.59,1.64,0.72,0.82,1.82,54.91,36.28,32.41,29.12,39.9,71.88,54.8,28.62,93.23,12128157,4.03,1.77,14.47,14.47,30.89,35.37,143.57
443,1392,71.93,1.59,0.95,10.33,0.99,0.46,1.56,2.56,39.12,8.82,9.68,7.99,41.19,108.73,54.57,101.19,70.68,-103459,0.67,9.11,1.73,1.73,6.44,10.42,-1162.24
444,1392,44.18,1.41,0.76,46.81,2.25,1.61,0.51,1.51,66.39,4.35,4.07,5.37,32.12,59.6,51.16,90.95,96.9,23311577,0.29,8.77,1.13,1.13,-1.53,6.16,107.27
445,1392,130.53,0.79,1.09,49.98,2.53,2.28,0.49,1.49,66.96,75.33,53.96,64.84,55.47,79.52,61.23,56.24,99.13,6774240,13.95,0.9,9.45,9.45,63.22,65.36,111.02
465,1392,13.76,1.7,0.91,15.87,1.36,0.74,1.17,2.17,46.07,16.54,12.76,13.02,34.98,84.31,73.46,13.2,98.34,1474366,1.47,3.67,2.96,2.96,14.09,16.02,204.34
497,1392,290.88,0.43,0.91,5.19,1.69,0.38,0.36,1.36,73.43,42.32,38.02,37.82,39.93,57.17,43.11,36.86,93.26,192722,4.69,2.37,31.38,31.38,32.2,40.16,446.55
559,1392,-17.41,0.68,0.93,6.52,1.28,0.36,2.26,3.26,30.68,15.84,14.25,14.7,10.34,26.71,11.89,15.15,67.23,1336792,1.58,1.02,30.48,30.48,-2.21,22.17,47.86
563,1392,395.48,0.87,0.89,2.2,1.89,1.04,0.78,1.78,56.14,61.99,54.34,39.91,50.33,90.96,54.89,72.91,94.9,391822,7.56,1.3,6.92,6.92,23.17,55.52,135.3
